what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357901617494
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1357901630059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901636381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901642785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901658221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901660105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901674449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901676524
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901684928
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901686143
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1357901690159
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901692320
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901693579
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901694796
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901696573
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357901697552
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1357901715280
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1357901716848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357901716871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901739840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901830286
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357901862680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357901876792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357901879052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357901894882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357901900930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357901927051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357902019698
