what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357913537032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357913569207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357913574540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913613994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913700757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357913713388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913716442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913734385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913740568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913744563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913755886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913757485
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1357913757609
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1357913760103
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913760206
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913760924
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913761576
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913762296
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913762959
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913763635
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913764298
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913764906
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913765650
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913766628
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913767629
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1357913768416
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1357913768720
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1357913771468
opened,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1357913771692
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1357913771728
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1357913773737
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1357913776924
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1357913779368
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913779394
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357913810750
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913815428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913815514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913841075
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913841076
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357913843442
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913844797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913844876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357913921602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913925770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913931471
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1357913933378
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357913936043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357913942063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357913946950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913953966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913957169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357913992895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357913998404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357914000542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357914098236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357914102183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357914289536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357914299558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357914363760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357914993541
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915004358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915016837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915021198
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915021198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915022706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357915024775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357915053413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357915353096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357915355919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357915397331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357915398920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916835014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916836272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916840501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357916844652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357916846959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357916916627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916923423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916929773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916932846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916934822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916938433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916948799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916953379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916958294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916970101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357916970223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357916983489
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1357916990049
